sec,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
-5.496,5,-2,-1,2,1,-5,0,-2
-5.492,0,2,0,1,1,-1,0,0
-5.488,-1,8,2,0,-1,2,-2,2
-5.484,1,5,0,0,-1,0,0,1
-5.48,1,-5,-2,-4,-1,2,0,-2
-5.476,-2,-9,-2,-4,3,4,0,-2
-5.472,-2,-2,2,4,2,0,-1,-1
-5.468,1,4,2,7,-1,-2,0,0
-5.464,5,3,-2,-5,2,-3,0,0
-5.46,5,0,-2,-12,1,-4,0,0
-5.456,2,-2,6,-2,-2,-2,1,0
-5.452,-4,-5,6,7,0,5,1,0
-5.448,-6,2,-3,4,3,8,0,0
-5.444,-2,5,-9,0,2,1,-1,-1
-5.44,4,1,0,-4,-1,-3,0,-1
-5.436,6,-1,6,-1,1,-1,0,-1
-5.432,0,2,2,0,4,-1,0,0
-5.428,-3,1,-6,-4,2,-5,0,0
-5.424,0,-5,-4,-2,-1,-2,0,0
-5.42,0,-4,0,4,0,3,1,0
-5.416,0,5,5,6,0,-1,0,-1
-5.412,1,11,2,-1,-1,1,0,0
-5.408,0,4,-2,-3,1,8,0,-1
-5.404,-3,-5,-5,-2,3,1,0,0
-5.4,0,-6,0,2,2,-10,0,0
-5.396,4,-2,3,2,0,-3,-1,0
-5.392,0,0,0,-3,1,7,0,0
-5.388,-2,1,0,-2,0,0,0,2
-5.384,4,3,1,2,-3,-5,-2,2
-5.38,4,0,0,2,-2,-2,-1,0
-5.376,-5,-1,0,-3,2,1,0,0
-5.372,-7,2,2,-2,4,6,0,-2
-5.368,-2,1,0,6,0,5,0,-2
-5.364,7,-4,-4,0,0,-3,0,-1
-5.36,3,-4,-5,-8,1,-11,0,0
-5.356,-2,1,4,-2,0,-2,0,0
-5.352,0,0,5,6,1,4,1,2
-5.348,0,2,0,1,0,0,-1,0
-5.344,-2,3,-2,0,1,0,-1,-1
-5.34,0,0,1,0,0,6,0,-1
-5.336,5,-5,1,-2,1,1,1,0
-5.332,2,0,-3,-5,-1,-4,0,-1
-5.328,-5,5,-7,-3,0,0,0,0
-5.324,-4,4,-4,0,0,0,0,1
-5.32,4,0,6,3,1,-5,0,0
-5.316,4,-1,9,1,0,0,1,-1
-5.312,1,0,0,-1,0,2,0,0
-5.308,0,2,-4,-4,2,0,-1,0
-5.304,1,2,-2,-5,0,4,-1,-2
-5.3,-4,1,-1,0,1,3,0,0
-5.296,-4,-1,-3,4,0,-5,0,0
-5.292,1,-1,0,5,-1,-7,0,-1
-5.288,7,3,4,-2,-2,2,-1,-1
-5.284,1,4,2,-4,0,6,0,0
-5.28,-2,1,2,-5,3,-2,0,1
-5.276,1,-4,0,0,2,-5,-2,0
-5.272,1,-6,-1,2,1,-2,-2,0
-5.268,-4,1,-3,0,0,4,0,-2
-5.264,-4,7,1,-1,-2,5,0,-1
-5.26,3,1,0,2,1,-4,0,1
-5.256,8,-3,-5,2,0,-7,0,1
-5.252,3,0,0,-4,-2,5,0,0
-5.248,1,2,6,-4,1,10,0,0
